order_id,product,quantity,price,timestamp,city,sales,month,year
POS_100000,Grocery,4,22.80164011678851,2023-03-05 03:00:00,Kolkata,91.20656046715403,March,2023
POS_100001,Electronics,3,574.7972930590279,2023-09-07 05:00:00,Mumbai,1724.3918791770836,September,2023
POS_100002,Home Decor,3,113.90035654071484,2023-05-20 09:00:00,Mumbai,341.70106962214453,May,2023
POS_100003,Home Decor,2,97.74363626704172,2023-07-15 06:00:00,Hyderabad,195.48727253408344,July,2023
POS_100004,Beauty,2,66.90722226969254,2023-02-01 23:00:00,Pune,133.81444453938508,February,2023
POS_100005,Home Decor,3,122.13118711051716,2024-01-10 07:00:00,Mumbai,366.3935613315515,January,2024
POS_100006,Clothing,4,46.41692185136512,2023-07-17 08:00:00,Kolkata,185.66768740546047,July,2023
POS_100007,Clothing,1,36.78019888548002,2023-11-03 22:00:00,Mumbai,36.78019888548002,November,2023
POS_100008,Beauty,4,66.66669643730627,2023-07-19 05:00:00,Kolkata,266.6667857492251,July,2023
POS_100009,Clothing,1,41.70475946509738,2023-10-23 17:00:00,Chennai,41.70475946509738,October,2023
POS_100010,Home Decor,5,118.77442105826955,2023-03-19 08:00:00,Kolkata,593.8721052913478,March,2023
POS_100011,Grocery,4,22.09077172176632,2023-06-06 22:00:00,Pune,88.36308688706528,June,2023
POS_100012,Home Decor,5,142.40947890321854,2023-07-19 04:00:00,Hyderabad,712.0473945160927,July,2023
POS_100013,Beauty,5,68.79080172193989,2023-01-09 23:00:00,Delhi,343.95400860969943,January,2023
POS_100014,Home Decor,5,143.58330294636542,2023-09-04 00:00:00,Hyderabad,717.9165147318271,September,2023
POS_100015,Home Decor,4,132.8227953770796,2023-10-25 10:00:00,Kolkata,531.2911815083183,October,2023
POS_100016,Grocery,1,17.872979966462292,2023-03-21 13:00:00,Hyderabad,17.872979966462292,March,2023
POS_100017,Grocery,5,18.421892217448605,2023-10-07 23:00:00,Bengaluru,92.10946108724302,October,2023
POS_100018,Clothing,3,45.21046167320391,2023-09-20 19:00:00,Mumbai,135.63138501961174,September,2023
POS_100019,Grocery,1,18.17845345517802,2024-03-09 21:00:00,Kolkata,18.17845345517802,March,2024
POS_100020,Grocery,3,18.316691334200005,2024-03-22 20:00:00,Chennai,54.95007400260002,March,2024
POS_100021,Electronics,1,481.81234367445614,2023-03-08 14:00:00,Bengaluru,481.81234367445614,March,2023
POS_100022,Home Decor,1,127.43458753838068,2023-12-31 17:00:00,Delhi,127.43458753838068,December,2023
