order_id,product,quantity,price,timestamp,city
POS_100000,Grocery,4,22.80164011678851,2023-03-05 03:00:00,Kolkata
POS_100001,Electronics,3,574.7972930590279,2023-09-07 05:00:00,Mumbai
POS_100002,Home Decor,3,113.90035654071484,2023-05-20 09:00:00,Mumbai
POS_100003,Home Decor,2,97.74363626704171,2023-07-15 06:00:00,Hyderabad
POS_100004,Beauty,2,66.90722226969254,2023-02-01 23:00:00,Pune
POS_100005,Home Decor,3,122.13118711051716,2024-01-10 07:00:00,Mumbai
POS_100006,Clothing,4,46.41692185136512,2023-07-17 08:00:00,Kolkata
POS_100007,Clothing,1,36.78019888548002,2023-11-03 22:00:00,Mumbai
POS_100008,Beauty,4,66.66669643730627,2023-07-19 05:00:00,Kolkata
POS_100009,Clothing,1,41.70475946509738,2023-10-23 17:00:00,Chennai
POS_100010,Home Decor,5,118.77442105826955,2023-03-19 08:00:00,Kolkata
POS_100011,Grocery,4,22.090771721766316,2023-06-06 22:00:00,Pune
POS_100012,Home Decor,5,142.40947890321854,2023-07-19 04:00:00,Hyderabad
POS_100013,Beauty,5,68.79080172193989,2023-01-09 23:00:00,Delhi
POS_100014,Home Decor,5,143.58330294636542,2023-09-04 00:00:00,Hyderabad
POS_100015,Home Decor,4,132.82279537707961,2023-10-25 10:00:00,Kolkata
POS_100016,Grocery,1,17.872979966462292,2023-03-21 13:00:00,Hyderabad
POS_100017,Grocery,5,18.421892217448605,2023-10-07 23:00:00,Bengaluru
POS_100018,Clothing,3,45.21046167320391,2023-09-20 19:00:00,Mumbai
POS_100019,Grocery,1,18.17845345517802,2024-03-09 21:00:00,Kolkata
POS_100020,Grocery,3,18.316691334200005,2024-03-22 20:00:00,Chennai
POS_100021,Electronics,1,481.81234367445614,2023-03-08 14:00:00,Bengaluru
POS_100022,Home Decor,1,127.43458753838067,2023-12-31 17:00:00,Delhi
POS_100023,Grocery,1,16.914552293062243,2023-03-01 19:00:00,Mumbai
POS_100024,Clothing,3,47.12075882519309,2023-12-01 10:00:00,Hyderabad
POS_100025,Electronics,1,508.47562386451705,2023-05-27 19:00:00,Pune
POS_100026,Home Decor,1,112.6888563375945,2024-02-09 12:00:00,Bengaluru
POS_100027,Beauty,2,50.84019992656931,2023-12-05 17:00:00,Kolkata
POS_100028,Grocery,1,20.733413232884203,2023-11-26 16:00:00,Hyderabad
POS_100029,Clothing,1,45.45473486102509,2023-08-18 14:00:00,Hyderabad
,Home Decor,3,128.26701659685267,2023-01-18 08:00:00,Hyderabad
POS_100031,Beauty,4,54.049988730229515,2023-07-01 08:00:00,Chennai
POS_100032,Home Decor,3,124.78100385637336,2023-07-22 02:00:00,Kolkata
POS_100033,Clothing,1,42.62240938223131,2024-01-02 17:00:00,Bengaluru
POS_100034,Grocery,5,18.781086423437692,2024-03-22 09:00:00,Mumbai
POS_100035,Clothing,4,44.99229286425862,2023-07-21 04:00:00,Chennai
POS_100036,Grocery,1,21.22011034477648,2023-10-28 01:00:00,Mumbai
POS_100037,Clothing,5,39.61561478953756,2023-02-19 17:00:00,Pune
POS_100038,Home Decor,4,129.1660409976265,2023-11-21 10:00:00,Hyderabad
POS_100039,Clothing,2,32.10874638610254,2023-09-24 03:00:00,Delhi
POS_100040,Electronics,4,581.2869929856367,2023-12-05 15:00:00,Bengaluru
POS_100041,Grocery,5,23.73561756186481,2024-03-10 13:00:00,Delhi
,Clothing,2,40.78015162871581,2023-07-13 16:00:00,Delhi
POS_100043,Electronics,1,534.6740845860429,2023-04-15 05:00:00,Chennai
,Home Decor,4,98.82954650142942,2023-02-06 22:00:00,Mumbai
POS_100045,Grocery,1,17.86368458401901,2023-06-20 10:00:00,Bengaluru
POS_100046,Electronics,4,564.9610602883055,2024-03-15 12:00:00,Bengaluru
POS_100047,Clothing,5,35.98875472905876,2024-02-09 10:00:00,Mumbai
POS_100048,Grocery,2,22.359319972235703,2023-10-03 06:00:00,Mumbai
POS_100049,Home Decor,3,103.40979203080086,2023-11-20 12:00:00,Mumbai
POS_100050,Clothing,4,40.866998484292395,2023-05-29 03:00:00,Delhi
POS_100051,Grocery,4,22.130289258236935,2023-05-18 12:00:00,Chennai
POS_100052,Electronics,2,596.15941624825,2023-03-06 11:00:00,Bengaluru
POS_100053,Grocery,2,20.684858636748267,2023-02-06 09:00:00,Delhi
POS_100054,Beauty,4,57.03850366175189,2024-03-24 02:00:00,Bengaluru
POS_100055,Home Decor,5,125.42533512304091,2023-08-19 18:00:00,Kolkata
POS_100056,Clothing,5,47.37168927852407,2023-08-31 04:00:00,Hyderabad
,Clothing,1,34.87021933562463,2023-12-02 14:00:00,Chennai
,Clothing,1,34.87021933562463,2023-12-02 14:00:00,Delhi
POS_100058,Home Decor,4,132.42150282288353,2024-02-26 21:00:00,Mumbai
,Electronics,3,491.24639346771147,2023-02-09 08:00:00,Chennai
POS_100060,Electronics,3,573.6638995642073,2024-01-05 11:00:00,Pune
POS_100061,Electronics,3,592.334125572425,2024-02-19 10:00:00,Delhi
POS_100062,Home Decor,1,129.65875553041252,2023-08-06 07:00:00,Bengaluru
POS_100063,Home Decor,3,98.46407371754383,2023-10-11 11:00:00,Bengaluru
POS_100064,Beauty,2,65.06439798238092,2023-05-02 23:00:00,Delhi
POS_100065,Clothing,3,43.137805158726714,2023-12-28 16:00:00,Kolkata
POS_100065,Clothing,3,43.137805158726714,2023-12-28 16:00:00,Bengaluru
POS_100066,Grocery,1,23.890909540707227,2023-05-22 08:00:00,Pune
POS_100067,Clothing,2,42.72379654657356,2023-05-12 02:00:00,Chennai
POS_100068,Electronics,4,599.4170584378802,2024-03-13 20:00:00,Hyderabad
